emp_no,first_name,last_name,title,from_date,to_date
10228,Karoline,Cesareni,Senior Staff,1998-12-22,9999-01-01
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01
10237,Yannis,Mandell,Senior Staff,1997-08-11,2000-02-21
10240,Remko,Maccarone,Engineer,1998-10-06,9999-01-01
10249,Marie,Boreale,Senior Engineer,2000-12-07,9999-01-01
10272,Yishai,Cannane,Staff,1997-10-23,9999-01-01
10281,Moty,Kusakari,Senior Engineer,2000-12-02,9999-01-01
10282,Hercules,Benzmuller,Engineer,2001-05-02,9999-01-01
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,9999-01-01
10284,Masali,Murrill,Engineer,1999-07-06,9999-01-01
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10295,Kristine,Velardi,Senior Staff,2000-06-18,9999-01-01
10298,Dietrich,DuCasse,Staff,1999-04-27,9999-01-01
10302,Faiza,Baer,Senior Staff,1994-07-22,1999-11-09
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10306,Heng,Kilgour,Staff,1993-09-06,9999-01-01
10322,Isamu,Dahlbom,Senior Engineer,1997-01-29,9999-01-01
10325,Arunachalam,Badr,Senior Staff,1990-09-20,9999-01-01
10326,Masali,Czap,Staff,1998-09-02,9999-01-01
10327,Roded,Facello,Engineer,1987-09-18,1993-05-22
10333,Snehasis,Dymetman,Senior Engineer,1998-01-16,9999-01-01
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10343,Dinah,Syrzycki,Senior Engineer,1997-10-03,9999-01-01
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01
10349,Oksana,Brodie,Senior Staff,1997-09-27,9999-01-01
10350,Kristen,Kavvadias,Engineer,1997-05-10,1998-01-16
10353,Phule,Hammerschmidt,Senior Staff,1989-08-24,9999-01-01
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10358,Qunsheng,Tagansky,Technique Leader,1991-02-19,9999-01-01
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,1993-02-12
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10377,Marl,Grospietsch,Senior Engineer,1996-08-24,9999-01-01
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10388,Hironoby,Kaiser,Staff,1999-05-28,9999-01-01
10389,Make,Peir,Technique Leader,1999-05-13,9999-01-01
10395,Takahiro,Deverell,Engineer,1998-08-10,2001-08-13
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01
10413,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01
10414,Yinlin,Alpin,Senior Engineer,1990-05-30,1994-12-02
10418,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01
10422,Greger,Rubsam,Engineer,1995-01-03,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01
10433,Reuven,Dengi,Engineer,1999-11-27,9999-01-01
10443,Shichao,Litvinov,Senior Engineer,1989-08-01,2002-07-06
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01
10463,Ung,Zaiane,Staff,1994-02-17,9999-01-01
10466,Jiakeng,Himler,Staff,1997-08-22,2000-08-15
10477,Guoxiang,Trogemann,Senior Engineer,2002-05-26,9999-01-01
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,9999-01-01
10497,Pramod,Rabehasaina,Senior Engineer,1999-01-22,9999-01-01
10499,Maik,Luft,Senior Staff,2001-07-31,9999-01-01
10503,Dannz,Pell,Engineer,1997-03-13,9999-01-01
10504,Xiong,Varker,Staff,1999-10-19,9999-01-01
10509,Abdelwaheb,Riesenhuber,Senior Staff,1997-10-06,9999-01-01
10517,Tiina,Speek,Senior Staff,1990-12-25,9999-01-01
10529,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01
10531,Oguz,Gimbel,Staff,1995-03-16,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10552,Kazuhito,Shiratori,Senior Engineer,1998-08-31,9999-01-01
10568,Gao,Poulakidas,Staff,1995-07-08,9999-01-01
10575,Theirry,Yeung,Senior Engineer,1988-10-04,2000-11-22
10586,Kirk,Vuskovic,Senior Engineer,2000-02-04,9999-01-01
10591,Hidde,Hettesheimer,Staff,1987-06-18,1988-09-20
10593,Falguni,Kenevan,Senior Engineer,1999-09-12,9999-01-01
10596,Sanjit,Coors,Senior Staff,2001-05-23,9999-01-01
10614,Gila,Ozeri,Senior Engineer,1998-03-03,9999-01-01
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,9999-01-01
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01
10629,Lalit,Francisci,Staff,1999-10-20,2001-12-07
10630,Bezalel,Katzenelson,Engineer,1997-01-13,9999-01-01
10634,Nahid,Chepyzhov,Senior Engineer,2000-11-10,9999-01-01
10637,Heejo,Frolund,Senior Staff,1998-07-11,2000-01-19
10639,Pramod,Erol,Senior Engineer,1999-10-26,9999-01-01
10641,Guozhong,Zucker,Engineer,1999-03-21,9999-01-01
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01
10671,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29,1996-04-19
10676,Valeri,Danley,Engineer,1999-09-04,9999-01-01
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01
10693,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01
10696,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10712,Uma,Koprowski,Senior Engineer,2001-08-18,9999-01-01
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01
10731,Fumitaka,Peak,Senior Staff,1994-02-20,2000-10-09
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01
10741,Sven,Huttel,Senior Staff,1997-01-06,9999-01-01
10745,Poorav,Ranze,Senior Engineer,1997-01-22,9999-01-01
10750,Roddy,Demeyer,Technique Leader,1998-11-06,9999-01-01
10751,Jordanka,Ushiama,Engineer,1999-12-14,2000-12-05
10764,Yunming,Beetstra,Senior Engineer,1998-11-27,9999-01-01
10767,Monique,Doering,Staff,1997-07-15,9999-01-01
10778,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01
10782,Kish,Perna,Staff,1997-07-06,2002-03-30
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,9999-01-01
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01
10801,Uinam,Zschoche,Engineer,1998-04-07,2001-01-15
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20,2002-04-02
10811,Ashish,Fortenbacher,Engineer,1997-07-08,9999-01-01
10813,Shalesh,Shumilov,Senior Staff,1990-04-27,9999-01-01
10814,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01
10826,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01
10827,Willard,Danley,Staff,1996-11-07,9999-01-01
10830,Fen,Fiebach,Senior Staff,1997-08-23,9999-01-01
10831,Toong,Driscoll,Technique Leader,1998-02-22,9999-01-01
10833,Krisda,Gecseg,Technique Leader,1998-12-23,9999-01-01
10834,Huiqun,Rajcani,Engineer,1999-11-24,9999-01-01
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01
10844,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01
10849,Makato,Mayerwieser,Engineer,2001-06-24,9999-01-01
10854,Jagoda,Nannarelli,Engineer,1998-07-13,9999-01-01
10858,Kenroku,Gonthier,Senior Engineer,2002-01-01,9999-01-01
10867,Billur,Gyorkos,Engineer,1997-03-23,2002-03-22
10871,Aram,Gilg,Staff,1999-06-16,9999-01-01
10872,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01
10873,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01
10882,Fun,Heuser,Engineer,1999-04-29,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10885,Rayond,Cronau,Senior Staff,1991-08-19,9999-01-01
10887,Lunjin,DeMori,Senior Engineer,1989-03-17,9999-01-01
10895,Vishwani,Petersohn,Staff,1986-04-26,1987-04-13
10906,Munehiro,Carrere,Staff,1998-10-18,9999-01-01
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01
10912,Oscal,Fasbender,Senior Staff,1991-04-23,1999-09-26
10913,Narain,Thummel,Staff,1998-10-25,9999-01-01
10918,Susumu,Reghbati,Staff,1990-01-29,1990-10-10
10922,Kyoichi,Wossner,Staff,1996-02-02,1999-01-16
10924,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01
10926,Leni,Eppinger,Senior Engineer,1995-04-30,9999-01-01
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01
10930,Arch,Minakawa,Senior Engineer,1998-11-22,9999-01-01
10936,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01
10940,Aleksander,Fioravanti,Engineer,1997-06-30,1999-12-02
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01
10944,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01
10947,Gor,Usery,Senior Staff,2001-11-15,9999-01-01
10948,Shigehito,Brodie,Senior Engineer,1996-09-30,1997-06-23
10949,Shigeichiro,Wroclawski,Senior Staff,1996-06-28,9999-01-01
10969,Premal,Noriega,Senior Engineer,1994-05-12,9999-01-01
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01
10985,Chiradeep,Furedi,Engineer,1999-02-11,1999-03-10
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01
10987,Flemming,Baezner,Engineer,1997-05-21,9999-01-01
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01
10990,Shin,Foote,Technique Leader,1990-08-06,9999-01-01
11002,Bluma,Ulupinar,Senior Staff,1998-11-21,2001-12-07
11004,JoAnna,Decleir,Senior Engineer,1998-01-18,9999-01-01
11009,Alper,Axelband,Senior Staff,1993-09-09,9999-01-01
11012,Taegyun,Speckmann,Staff,1996-07-06,9999-01-01
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01
11024,Manton,Collavizza,Staff,1995-04-05,2001-05-18
11028,Miyeon,Krider,Senior Engineer,1991-06-18,1997-09-04
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01
11032,Erez,Schaaf,Staff,1994-06-06,9999-01-01
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01
11060,Genevieve,Pokrovskii,Staff,1991-05-03,1991-09-27
11061,Pintsang,Erni,Senior Staff,2002-02-19,9999-01-01
11064,Shawna,Vieri,Senior Engineer,2002-02-27,9999-01-01
11066,Shaz,Langford,Senior Staff,1996-04-30,9999-01-01
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01
11071,Kwan,Sigstam,Senior Engineer,2001-05-23,9999-01-01
11075,Karsten,Belinskaya,Senior Engineer,1998-05-06,9999-01-01
11077,Hideyuki,Merro,Senior Staff,1998-04-30,1998-10-11
11079,Piyush,Garigliano,Senior Engineer,2001-05-26,9999-01-01
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01
11083,Shimshon,Ducloy,Senior Staff,2000-10-04,9999-01-01
11085,Hailing,Thummel,Senior Engineer,1996-02-10,9999-01-01
11087,Changho,Jayawardene,Senior Engineer,1998-03-18,9999-01-01
11091,Souichi,Ramsay,Engineer,1999-09-11,9999-01-01
11092,Narain,Stamatiou,Staff,1999-04-05,9999-01-01
11098,Arnd,Covnot,Engineer,1997-01-08,9999-01-01
11111,Udi,Zastre,Assistant Engineer,1994-12-25,9999-01-01
11112,Boaz,Mukaidono,Staff,1995-04-28,9999-01-01
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,9999-01-01
11130,Xinyu,Menhoudj,Senior Staff,1997-02-17,9999-01-01
11132,Kristin,Harnett,Senior Engineer,1999-08-30,9999-01-01
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,9999-01-01
11144,Carrsten,Heinisuo,Senior Staff,2002-07-19,9999-01-01
11145,Jinxi,Baak,Engineer,1999-04-23,1999-05-24
11146,Ishfaq,Masand,Senior Staff,1997-08-21,9999-01-01
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01
11156,Tomoyuki,Armand,Staff,1995-09-07,1998-07-31
11158,Masaki,Hagimont,Senior Engineer,2002-04-20,9999-01-01
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01
11168,Shmuel,Tetzlaff,Senior Staff,2001-07-15,9999-01-01
11170,Minghong,Cannard,Senior Engineer,1990-06-20,9999-01-01
11174,Akhilish,Milicia,Engineer,1999-06-07,9999-01-01
11177,Chrisa,dAstous,Senior Engineer,1999-09-11,9999-01-01
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01
11181,Hausi,Cullers,Engineer,1997-11-03,9999-01-01
11185,Aloys,Baezner,Senior Staff,2000-01-26,9999-01-01
11186,Kshitij,Stasinski,Senior Engineer,2000-12-09,9999-01-01
11189,Dante,Bodoff,Senior Staff,1991-09-07,9999-01-01
11192,Apostol,Bahr,Engineer,1998-04-07,9999-01-01
11195,Masanao,Lovengreen,Senior Engineer,1991-06-13,1999-05-16
11201,Jouko,Masaki,Staff,1995-10-31,9999-01-01
11203,Sakthirel,Yetto,Senior Staff,1996-01-06,1996-06-15
11206,Steen,Sury,Staff,1993-05-07,2000-05-04
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,9999-01-01
11218,Kirk,Hemaspaandra,Technique Leader,1994-04-06,2002-04-19
11221,Alselm,Hammerschmidt,Engineer,1989-08-22,1995-03-13
11229,Gretta,Ramamoorthy,Senior Engineer,2000-07-25,9999-01-01
11233,Sanjit,Waschkowski,Senior Engineer,1998-12-14,9999-01-01
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01
11253,Koldo,Pokrovskii,Senior Engineer,2000-05-22,9999-01-01
11254,Danel,Rindone,Staff,1998-12-19,9999-01-01
11258,Aris,Maccarone,Senior Staff,1998-03-28,9999-01-01
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01
11274,Masanao,Nicolson,Staff,1999-12-13,9999-01-01
11288,Domenico,Eastman,Senior Staff,1997-06-03,1997-09-28
11289,Chuanti,Cherinka,Senior Engineer,1996-02-23,9999-01-01
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01
11291,Gino,Glowinski,Senior Engineer,1985-10-20,2001-04-15
11292,Souichi,Sichman,Senior Engineer,1996-02-12,9999-01-01
11294,Tru,Segond,Senior Engineer,1999-06-13,9999-01-01
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01
11296,Hironobu,Kenevan,Senior Engineer,1994-09-26,9999-01-01
11297,Geraldo,Levergood,Engineer,1991-02-16,1991-02-22
11300,Lillian,Fontet,Engineer,1992-09-10,1996-12-20
11301,Mingzeng,Oxenboll,Senior Staff,1996-05-23,9999-01-01
11317,Shigeaki,Hagimont,Senior Staff,2000-09-07,9999-01-01
11320,Atilio,McAlpine,Senior Staff,1998-04-06,9999-01-01
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01
11325,Samphel,Rossi,Engineer,1999-01-10,9999-01-01
11326,Munenori,Plesums,Senior Engineer,1999-02-19,9999-01-01
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,9999-01-01
11339,Flemming,Massonet,Senior Engineer,1989-12-19,9999-01-01
11340,Aris,Bala,Senior Engineer,1998-09-11,9999-01-01
11343,Susanne,Erez,Senior Engineer,1995-02-27,9999-01-01
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,9999-01-01
11349,Yurii,Hammerschmidt,Engineer,1999-06-28,9999-01-01
11360,Fen,Schach,Senior Staff,1997-01-12,9999-01-01
11365,Toshimi,Shinomoto,Engineer,1997-12-18,9999-01-01
11372,Susanta,Vilarrasa,Senior Staff,1993-05-14,2000-05-04
11373,Yongmao,Keohane,Senior Staff,2000-07-18,9999-01-01
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01
11386,Alselm,Assaf,Senior Engineer,1993-11-29,9999-01-01
11387,Jordanka,Kalloufi,Engineer,1997-05-11,1997-12-13
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01
11398,Oscar,Peir,Senior Staff,2001-09-07,9999-01-01
11401,Huan,Merey,Staff,1995-04-15,9999-01-01
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,9999-01-01
11410,Gro,Vendrig,Engineer,1999-10-25,9999-01-01
11414,Eishiro,Pearson,Senior Staff,1996-01-03,1997-10-06
11415,Sanjiv,Anido,Engineer,1996-12-07,9999-01-01
11417,Anneli,Cyne,Technique Leader,1992-12-21,9999-01-01
11418,Satosi,Cooley,Senior Staff,1991-12-30,9999-01-01
11421,Josyula,Msuda,Senior Engineer,1995-09-02,9999-01-01
11423,Guangming,Kopetz,Staff,1998-10-13,9999-01-01
11428,Remco,Reinhart,Engineer,1994-07-31,1998-07-04
11431,Youngkon,Picht,Senior Staff,1991-09-16,2001-03-03
11441,Marlo,Aingworth,Senior Staff,1987-03-27,9999-01-01
11446,Naftali,Narahara,Senior Engineer,1999-04-06,9999-01-01
11452,Shigehito,Luby,Senior Staff,2001-08-26,9999-01-01
11459,Duke,Suomi,Senior Staff,1992-05-02,9999-01-01
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01
11474,Gennady,Akazan,Engineer,1993-12-29,9999-01-01
11476,Manton,Yoshizawa,Staff,1994-01-15,9999-01-01
11479,Shridhar,Pleszkun,Staff,1999-02-10,9999-01-01
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20
11503,Nathan,Picht,Senior Engineer,2002-04-09,9999-01-01
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,9999-01-01
11513,Otmar,Mahnke,Senior Staff,1998-08-25,9999-01-01
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01
11519,Halsur,Chinen,Senior Staff,1997-06-12,9999-01-01
11521,Eldridge,Eastman,Staff,1995-10-17,2000-06-08
11523,Yuguang,Pezzoli,Engineer,1998-12-23,9999-01-01
11526,Tonny,Impagliazzo,Senior Staff,1998-02-22,1998-11-28
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01
11531,Radhika,Motley,Technique Leader,1992-11-04,9999-01-01
11533,Vitaly,Lorch,Technique Leader,1991-08-20,9999-01-01
11540,Chanjung,Portugali,Senior Engineer,2002-07-02,9999-01-01
11562,Rimli,Alencar,Engineer,1988-06-30,1994-12-13
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,9999-01-01
11573,Pranas,Hutton,Senior Engineer,1995-02-04,9999-01-01
11577,Mayumi,Deyuan,Senior Engineer,1998-09-23,9999-01-01
11578,Edwin,Rosti,Senior Engineer,1991-11-22,2002-02-17
11581,Patricio,Rosenbaum,Senior Engineer,2001-11-13,9999-01-01
11587,Shem,Zambonelli,Senior Engineer,1989-04-24,9999-01-01
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11595,Takanari,Kamber,Senior Staff,1992-09-08,9999-01-01
11596,Yannik,Gunderson,Staff,1995-11-23,9999-01-01
11602,Somnath,Malabarba,Senior Staff,2001-06-21,9999-01-01
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01
11606,Perry,Pepe,Senior Staff,1999-09-27,9999-01-01
11607,Tomokazu,Foong,Engineer,1995-04-19,9999-01-01
11616,Zhilian,Brendel,Engineer,1998-12-30,9999-01-01
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01
11640,Valeri,Coorg,Senior Engineer,1988-09-26,9999-01-01
11644,Sanjit,Zaiane,Assistant Engineer,1995-08-09,9999-01-01
11646,Lobel,Rubsam,Engineer,1999-12-15,9999-01-01
11647,Magy,Nitsche,Senior Engineer,1993-05-11,9999-01-01
11649,Shen,Bernardinello,Technique Leader,1992-12-11,9999-01-01
11673,Henk,Felder,Technique Leader,1989-06-10,9999-01-01
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01
11684,Oksana,Gide,Senior Staff,1995-02-21,9999-01-01
11686,Nadjib,Srimani,Senior Staff,2000-04-20,2000-07-22
11690,Domenick,Raczkowsky,Staff,1997-09-23,9999-01-01
11693,Hideo,Coorg,Senior Engineer,1991-08-24,9999-01-01
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,1994-06-30
11708,Chenye,Angot,Staff,1992-09-18,1996-07-28
11713,Danel,Heusch,Senior Engineer,2000-10-03,9999-01-01
11733,Leszek,Sudbeck,Senior Engineer,2001-01-11,9999-01-01
11736,Shugo,Uchoa,Senior Engineer,1994-03-07,9999-01-01
11737,Martina,Garnier,Assistant Engineer,1995-07-11,9999-01-01
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18,1995-06-27
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01
11747,Aksel,Kossowski,Senior Staff,1993-02-20,1999-01-16
11748,Lihong,Massonet,Engineer,1996-07-24,9999-01-01
11751,Jiafu,Emiris,Senior Staff,1993-11-03,9999-01-01
11755,Zhenbing,Karner,Senior Staff,1996-12-04,2002-01-08
11763,Yuriy,Liesche,Engineer,1997-04-18,9999-01-01
11764,Sanjay,Anick,Senior Engineer,1996-12-15,9999-01-01
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,9999-01-01
11772,Gaurav,Penz,Engineer,1999-11-07,9999-01-01
11774,Aron,Wroclawski,Engineer,1998-11-26,9999-01-01
11778,Dhritiman,Fontan,Senior Engineer,1997-12-28,9999-01-01
11779,Shunichi,Thombley,Staff,1996-11-21,9999-01-01
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,9999-01-01
11801,Tommaso,Dayang,Senior Staff,1997-06-12,9999-01-01
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01
11811,Herb,Boissier,Senior Staff,1998-03-28,9999-01-01
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11814,Manohar,Shinomoto,Staff,1996-06-09,1998-10-24
11821,Mary,Piazza,Senior Engineer,1995-12-13,2001-10-26
