emp_no,first_name,last_name,gender,salary,to_date
11769,Chandrasekaran,Lampe,M,40000,1999-04-18
11883,Nectarios,Bhattacharjee,F,58135,1990-10-28
11772,Gaurav,Penz,F,61295,9999-01-01
11797,Chenxi,Thambidurai,M,88050,9999-01-01
11894,Mitchel,Validov,M,56198,9999-01-01
11897,Cordelia,Setlzner,M,80049,9999-01-01
11906,Hideo,Boguraev,F,81324,9999-01-01
11915,Miomir,Mawatari,M,58042,9999-01-01
11931,Gunilla,Chiodo,F,73369,9999-01-01
11933,Basil,Erman,M,56130,9999-01-01
11949,Martijn,Harbusch,M,40000,9999-01-01
11983,Jaana,Hedayat,M,40000,9999-01-01
11987,Vidya,Schaar,F,40000,1997-12-04
11987,Vidya,Schaar,F,40000,1993-09-14
11988,Chinya,Chinin,F,57652,2001-12-31
11993,Marit,Dalphin,M,56505,9999-01-01
11797,Chenxi,Thambidurai,M,88050,1996-09-28
11805,Rosine,Grandbois,M,40000,1991-02-05
12011,Zhilian,Coorg,F,85833,9999-01-01
11810,Amabile,Bhattacharjee,M,41256,9999-01-01
11813,Gita,Muhlberg,F,94687,1991-07-20
12025,Jaewoo,Heiserman,F,62126,1990-06-09
11817,Niranjan,Markovitch,M,50638,9999-01-01
12033,Visit,Serot,M,49992,1999-02-07
11832,Arto,Zlotek,M,40000,9999-01-01
12036,Mads,Ratzlaff,M,67143,1995-07-01
12036,Mads,Ratzlaff,M,67143,9999-01-01
12037,Arunas,Katzenelson,M,47805,9999-01-01
12050,Yuchang,Tchuente,F,46704,9999-01-01
12052,Masako,Khasidashvili,F,40000,1988-08-29
12062,Margareta,Worfolk,M,44199,9999-01-01
11838,Taiji,Nitta,M,68674,1991-05-09
12069,Ayonca,Burnard,M,51928,9999-01-01
12070,Ger,Shokrollahi,M,50233,9999-01-01
11844,Shawna,Demeyer,M,78049,9999-01-01
12076,Karlis,Siprelle,F,75381,9999-01-01
12082,Xinan,Yamaashi,M,72118,9999-01-01
12149,Suebskul,Grandbois,M,109934,9999-01-01
12087,Weijing,Jumpertz,M,45432,1993-03-24
12089,Bilhanan,Socorro,M,46288,9999-01-01
12099,Nobuyoshi,Kuzuoka,M,104610,9999-01-01
12103,Becky,Erie,M,56188,1992-09-18
12112,Satyanarayana,Avouris,M,76538,9999-01-01
12122,Satoru,Krone,F,46398,9999-01-01
12159,Shem,Perly,M,61210,9999-01-01
12123,Xiahua,Syrzycki,F,64879,9999-01-01
12125,Shounak,Erman,F,41215,9999-01-01
12125,Shounak,Erman,F,41215,1999-09-01
12128,Yannik,Barreiro,F,81527,1998-11-25
12165,Xiaobin,Maquelin,F,41951,9999-01-01
12173,Adel,Nanard,M,58321,2000-05-20
12276,Yongmin,Lenart,M,59844,2001-09-25
12183,Harngdar,Iisaku,M,40000,9999-01-01
12192,Feiyu,Klyachko,F,41625,9999-01-01
12303,Godehard,Braccini,M,40000,1988-07-19
12205,Sushant,Rossi,M,40000,9999-01-01
12308,Mototsugu,Cronau,M,58741,1996-09-20
12308,Mototsugu,Cronau,M,58741,9999-01-01
12311,Susanne,Lubachevsky,M,40000,9999-01-01
12312,Chenye,Velasco,F,52344,1996-12-18
12206,Barton,Janetzko,F,40000,9999-01-01
12218,Yaghout,Strooper,M,40000,9999-01-01
12327,DAIDA,Bruckman,M,67449,9999-01-01
12335,Arnould,Genin,F,40000,2000-06-19
12341,Rasiah,Luga,M,40000,9999-01-01
12221,Vincent,Melter,M,56736,9999-01-01
12343,Sorina,Slaats,M,52134,9999-01-01
12343,Sorina,Slaats,M,52134,2000-09-03
12222,Abdelwaheb,Holburn,F,55840,9999-01-01
12223,Niteen,Koyama,F,54459,9999-01-01
12247,Subbu,Penttonen,F,59183,9999-01-01
12365,Kamakshi,Bisiani,M,40000,9999-01-01
12373,Mooi,Driscoll,F,75986,9999-01-01
12395,Sanjit,Felder,M,66909,9999-01-01
12399,Mihalis,Luga,M,85582,9999-01-01
12411,Shao,Ibel,M,97610,9999-01-01
12249,Eldridge,Sadowski,M,70099,9999-01-01
12413,Hugh,Gadepally,F,53179,9999-01-01
12415,Uri,Sluis,M,53615,1998-10-10
12254,Chaitali,Stafford,M,44848,1989-10-31
12417,Dannz,Spelt,F,67342,9999-01-01
12256,Guadalupe,Reghbati,F,40000,9999-01-01
12422,Berhard,Demos,F,71376,9999-01-01
12264,Mart,Pagter,M,51816,9999-01-01
12451,Pramod,Marzano,M,40000,1995-03-18
12270,Shakhar,Kornyak,M,52840,9999-01-01
12454,Kerryn,Farris,F,41347,9999-01-01
12464,Shai,Milicic,F,50448,9999-01-01
12272,Behnaam,Grandbois,F,43811,9999-01-01
12274,Garnik,Papadias,M,40000,1989-01-18
12475,Filipe,Roison,M,40000,9999-01-01
12478,Yahiko,Hopewell,M,50404,1998-12-11
12478,Yahiko,Hopewell,M,50404,1997-09-05
12589,Anoosh,Chleq,M,59441,9999-01-01
12487,Mona,Reghbati,F,40000,9999-01-01
12487,Mona,Reghbati,F,40000,1998-12-11
12489,Arnould,Munck,F,63306,9999-01-01
12490,Jackson,Muchinsky,F,40000,9999-01-01
12493,Filipp,Menhardt,F,40000,1988-12-04
12497,Stein,Penz,M,81191,9999-01-01
12501,Morrie,Matheson,F,76082,9999-01-01
12504,Adly,Rosaz,F,40000,9999-01-01
12514,Tomofumi,Melter,M,54241,9999-01-01
12528,Conor,Cincotta,F,40000,9999-01-01
12534,Yongmao,Gerlach,M,66715,9999-01-01
12596,Breannda,Roisin,M,40000,9999-01-01
12541,Shih,Nanard,M,93105,9999-01-01
12542,Kazuhide,Bouloucos,F,44176,9999-01-01
12551,Jeane,Tzvieli,M,40000,9999-01-01
12553,Aral,Vesna,M,40000,9999-01-01
12557,Stafford,Kopetz,M,41840,9999-01-01
12601,Ghassan,Simkin,M,41714,9999-01-01
12557,Stafford,Kopetz,M,41840,1994-09-23
12608,Nectarios,Mondadori,M,40000,9999-01-01
12635,Xinyu,Restivo,F,40000,1995-04-07
12709,Ronghao,Botman,M,45510,9999-01-01
12717,Tzu,Jiafu,F,53194,9999-01-01
12722,Elliott,Cheshire,F,62325,9999-01-01
12726,Fumitake,Panwar,M,61177,9999-01-01
12729,Nahla,Rahier,F,51796,2000-09-10
12729,Nahla,Rahier,F,51796,9999-01-01
12730,Barry,Perl,F,40000,1998-03-24
12731,Yongmao,Waymire,F,40000,9999-01-01
12732,Mara,Takanami,M,74436,9999-01-01
12734,Gil,Frijda,M,40000,9999-01-01
12635,Xinyu,Restivo,F,40000,9999-01-01
12637,Poorav,Karner,M,44370,1999-01-08
12638,Yuqun,Seiwald,F,56677,9999-01-01
12755,Rildo,Rodite,F,40196,9999-01-01
12642,Suebskul,Gips,F,68271,9999-01-01
12759,LiMin,Kuszyk,M,49963,1996-01-02
12651,Pragnesh,Bael,M,75150,9999-01-01
12773,Jenwei,Lovengreen,M,65556,9999-01-01
12662,Leucio,Alvarado,M,69016,9999-01-01
12775,Mariangiola,Berendt,F,69805,1993-10-17
12775,Mariangiola,Berendt,F,69805,2002-04-05
12790,Gunilla,Perl,F,87760,9999-01-01
12663,Nobuyoshi,Stellhorn,M,49966,9999-01-01
12795,Masoud,Fordan,M,56969,9999-01-01
12798,Lillian,Beeson,F,81145,9999-01-01
12803,Gad,Boissier,M,91789,9999-01-01
12803,Gad,Boissier,M,91789,1999-08-30
12815,Sushant,Junot,M,65073,9999-01-01
12816,Freyja,Ramras,F,66194,1999-09-08
12819,Mountaz,Gubsky,M,48455,9999-01-01
12846,Krisda,Cyne,F,63962,2001-01-15
12848,Kazuhide,Smeets,M,40000,9999-01-01
12853,Mang,Brobst,M,47160,1996-10-03
12863,Leif,Matheson,M,62803,9999-01-01
12872,Marl,Schmittgen,F,56040,9999-01-01
12876,Apostol,Goodrum,M,42277,2000-12-24
12879,Baruch,Eugenio,M,40000,9999-01-01
12888,Martien,Erni,F,41673,1995-04-07
12890,Neven,Casley,F,66803,9999-01-01
12893,Licheng,Crouzet,M,50803,9999-01-01
12895,Roddy,Serot,M,40000,9999-01-01
12905,Munehiro,Gecsei,M,58659,9999-01-01
12922,Jacqueline,Porenta,M,69441,1993-09-16
12926,Heekeun,Luby,M,68314,9999-01-01
12937,Arup,Cincotta,M,59206,1992-12-14
12940,Odinaldo,Farrar,F,49760,9999-01-01
12941,Tommaso,Perelgut,F,67069,9999-01-01
12949,Geoff,Asrin,F,40000,9999-01-01
12951,Mohammad,Keirsey,F,60566,1994-07-27
12951,Mohammad,Keirsey,F,60566,1988-06-26
12972,Juyoung,Azevdeo,M,40000,1990-08-07
12974,Gift,Frolund,M,93034,1994-11-03
12977,Byong,Markovitch,M,61326,9999-01-01
12983,Elliott,Hambrick,F,57252,9999-01-01
12664,Zhonghua,Parveen,M,40000,2001-03-12
12664,Zhonghua,Parveen,M,40000,9999-01-01
12678,Carrsten,Borovoy,M,44529,2000-04-22
13012,Florina,Harbusch,M,40000,2002-05-24
13030,Yahiko,Kroll,M,51770,9999-01-01
13046,Vivian,Stafford,M,40000,9999-01-01
13047,Atilio,Chelton,M,52323,9999-01-01
13049,Fan,Naudin,F,60266,1986-01-08
13062,Xinglin,Baak,M,55665,2000-05-31
13075,Rosella,Morrin,M,40000,9999-01-01
13075,Rosella,Morrin,M,40000,1990-09-02
13076,Deniz,Skafidas,F,50582,9999-01-01
12689,Luerbio,Boudaillier,M,59689,9999-01-01
13096,Ibibia,Armand,M,52544,9999-01-01
12691,Oddvar,Gils,M,48493,9999-01-01
13103,Srinidhi,Ellozy,F,40000,9999-01-01
12694,Kazuhira,Luders,M,53019,1998-05-30
13113,Kwun,Landherr,M,66941,1996-10-07
12697,Uri,Brizzi,M,40000,9999-01-01
13133,Guther,Senzako,M,67777,1991-06-13
13124,Quingbo,Garnick,F,73785,9999-01-01
13272,Arun,Jiang,F,40000,9999-01-01
13276,Yechiam,Seuren,M,65836,9999-01-01
13133,Guther,Senzako,M,67777,9999-01-01
13134,Lorien,Chepyzhov,M,51227,9999-01-01
13144,Persi,Nollmann,M,52825,9999-01-01
13288,Muneo,Broomell,F,40000,9999-01-01
13291,Georg,Stamatiou,M,54720,9999-01-01
13146,Haldon,Erie,M,61398,9999-01-01
13299,Guiseppe,Butner,M,40000,1998-09-13
13302,Mack,Alencar,F,40000,9999-01-01
13147,Shichao,Ginesta,M,77429,9999-01-01
13305,Bikash,Herath,M,104969,1995-01-19
13156,Akeel,Millington,M,48285,9999-01-01
13315,Sakthirel,Stroustrup,F,40000,9999-01-01
13165,Lucian,Benner,F,42796,9999-01-01
13332,Nidapan,Pearson,F,40000,9999-01-01
13333,Yoshinari,Hennebert,M,50997,9999-01-01
13333,Yoshinari,Hennebert,M,50997,1998-08-30
13341,Bodh,Doering,F,40000,9999-01-01
13343,Heon,Usery,M,40000,9999-01-01
13343,Heon,Usery,M,40000,1995-05-06
13368,Kiyokazu,Klassen,M,52872,9999-01-01
13371,Nakhoon,Riexinger,F,40000,9999-01-01
13373,Juichirou,Naumovich,M,82749,1993-04-05
13373,Juichirou,Naumovich,M,82749,9999-01-01
13168,Munir,Stentiford,F,49210,9999-01-01
13385,Claudi,Buchter,M,40000,9999-01-01
13386,Khosrow,Sgarro,F,91420,9999-01-01
13389,Divine,Cmelik,F,40000,9999-01-01
13392,Fumitake,Beidas,F,69221,9999-01-01
13396,Chuanyi,Aumann,F,40000,9999-01-01
13402,Augustine,Dulli,M,40000,2002-02-26
13402,Augustine,Dulli,M,40000,9999-01-01
13405,Randy,Baba,F,60799,9999-01-01
13407,Gio,Chenoweth,M,60348,9999-01-01
13408,Sreekrishna,Lagarias,M,52479,9999-01-01
13170,Cheong,Bernardeschi,M,49012,1998-09-21
13170,Cheong,Bernardeschi,M,49012,9999-01-01
13415,Nathalie,Speer,F,61838,9999-01-01
13422,Vishwani,Gerlach,F,59466,1991-11-21
13422,Vishwani,Gerlach,F,59466,9999-01-01
13442,Giordano,Miake,M,40000,9999-01-01
13443,Mayuko,Puppo,M,40000,9999-01-01
13445,Renee,Dehkordi,M,53194,9999-01-01
13451,Gretta,Weiland,M,40000,9999-01-01
13457,Shooichi,Parfitt,M,40812,9999-01-01
13458,Feipei,Nivat,F,41375,2002-02-02
13458,Feipei,Nivat,F,41375,9999-01-01
13463,Theron,Berstel,F,40000,9999-01-01
13465,Sasan,Rehfuss,M,49821,9999-01-01
13493,Uinam,Jullig,F,40000,9999-01-01
13504,Parto,Mandell,F,41895,9999-01-01
13171,Anoosh,Birnbaum,M,40000,9999-01-01
13521,Jaewoo,Tasistro,F,40000,1991-02-18
13173,Arve,Horswill,M,46354,9999-01-01
13524,Chaoyi,Porotnikoff,F,52849,9999-01-01
13179,Moty,Janocha,M,90233,9999-01-01
13535,Arunas,Schlenzig,F,40000,9999-01-01
13182,Kokou,Rodite,M,46832,9999-01-01
13546,Aimee,Brookner,F,50295,9999-01-01
13186,Kyoichi,Barbanera,M,93138,9999-01-01
13549,Matk,Koprowski,M,40000,9999-01-01
13552,Ingmar,Capobianchi,M,73346,9999-01-01
13192,Rosita,Flowers,M,43986,9999-01-01
13192,Rosita,Flowers,M,43986,2001-01-19
13202,Aram,Scharstein,F,51915,9999-01-01
13560,Sibyl,Jeong,M,40000,1998-03-12
13210,Jianhua,Klassen,M,83961,9999-01-01
13576,Jungsoon,Engberts,F,73022,9999-01-01
13576,Jungsoon,Engberts,F,73022,1997-02-18
13210,Jianhua,Klassen,M,83961,1997-08-10
13578,Tadahiko,Christianini,F,62885,1997-04-13
13213,Hein,Billawala,M,61131,9999-01-01
13221,Premsyl,Famili,F,47724,1998-10-21
13232,Mitchel,Fujisaki,F,40000,9999-01-01
13605,Dmitry,Encarnacion,F,70404,9999-01-01
13621,Fei,Haddadi,M,73192,9999-01-01
13624,Zhigen,Yurek,M,40000,9999-01-01
13629,Dzung,Trelles,M,40000,9999-01-01
13648,Zejun,Lamba,F,47723,9999-01-01
13651,Stamatina,Plesums,F,62278,1990-03-31
13653,Kristen,Iivonen,M,53242,9999-01-01
13670,Moti,Takanami,F,40000,9999-01-01
13680,Denny,Speer,M,46968,9999-01-01
13684,Elvia,Christ,M,79100,2002-03-30
